player_id,nfl_team,team_id,year,round,pick,name,position,height,weight,hometown
0,Los Angeles,201,2010,1,1,Sam Bradford,Quarterback,76,236,Oklahoma City(OK)
1,Detroit,158,2010,1,2,Ndamukong Suh,Defensive Tackle,76,307,Portland(OR)
2,Washington,201,2010,1,4,Trent Williams,Offensive Tackle,77,315,Longview(TX)
3,Kansas City,2633,2010,1,5,Eric Berry,Safety,72,211,Fairburn(GA)
4,Seattle,197,2010,1,6,Russell Okung,Offensive Tackle,77,307,Houston(TX)
5,Cleveland,57,2010,1,7,Joe Haden,Cornerback,71,193,Ft. Washington(MD)
6,Las Vegas,333,2010,1,8,Rolando McClain,Inside Linebacker,75,254,Decatur(AL)
7,Buffalo,228,2010,1,9,C.J. Spiller,Running Back,71,196,Lake Butler(FL)
8,Los Angeles,278,2010,1,12,Ryan Mathews,Running Back,72,218,Bakersfield(CA)
10,Seattle,251,2010,1,14,Earl Thomas,Safety,70,208,Orange(TX)
11,New York,58,2010,1,15,Jason Pierre-Paul,Defensive End,77,270,Deerfield Beach(FL)
12,Pittsburgh,57,2010,1,18,Maurkice Pouncey,Center,77,304,Lakeland(FL)
13,Atlanta,142,2010,1,19,Sean Weatherspoon,Outside Linebacker,73,239,Jasper(TX)
14,Houston,333,2010,1,20,Kareem Jackson,Cornerback,71,196,Macon(GA)
15,Denver,59,2010,1,22,Demaryius Thomas,Wide Receiver,75,224,Montrose(GA)
16,Green Bay,2294,2010,1,23,Bryan Bulaga,Offensive Tackle,77,314,Crystal Lake(IL)
17,Dallas,197,2010,1,24,Dez Bryant,Wide Receiver,74,225,Lufkin(TX)
18,Denver,57,2010,1,25,Tim Tebow,Quarterback,75,236,Jacksonville(FL)
19,Arizona,2633,2010,1,26,Dan Williams,Defensive Tackle,74,327,Memphis (TN)
20,Miami,213,2010,1,28,Jared Odrick,Defensive Tackle,77,304,Lebanon(PA)
21,New York,68,2010,1,29,Kyle Wilson,Cornerback,70,194,Piscataway(NJ)
22,Detroit,25,2010,1,30,Jahvid Best,Running Back,70,199,Vallejo(CA)
23,New Orleans,52,2010,1,32,Patrick Robinson,Cornerback,71,190,Miami(FL)
24,Los Angeles,84,2010,2,1,Rodger Saffold,Offensive Tackle,77,316,Bedford(OH)
25,Minnesota,258,2010,2,2,Chris Cook,Cornerback,74,212,Lynchburg(VA)
26,Kansas City,145,2010,2,4,Dexter McCluster,Running Back,69,172,Largo(FL)
27,Philadelphia,58,2010,2,5,Nate Allen,Safety,73,207,Cape Coral(FL)
28,Cleveland,2483,2010,2,6,T.J. Ward,Safety,71,211,Antioch(CA)
29,Tampa Bay,356,2010,2,7,Arrelious Benn,Wide Receiver,73,219,Washington(DC)
30,Miami,254,2010,2,8,Koa Misi,Outside Linebacker,75,251,Santa Rosa(CA)
31,Baltimore,251,2010,2,11,Sergio Kindle,Outside Linebacker,75,250,Dallas(TX)
32,Las Vegas,251,2010,2,12,Lamarr Houston,Defensive Tackle,75,305,Colorado Springs(CO)
33,Denver,254,2010,2,13,Zane Beadles,Offensive Guard,76,310,Sandy(UT)
34,New York,151,2010,2,14,Linval Joseph,Defensive Tackle,77,328,Gainesville(FL)
35,Arizona,2628,2010,2,15,Daryl Washington,Outside Linebacker,74,230,Irving(TX)
36,Carolina,87,2010,2,16,Jimmy Clausen,Quarterback,75,222,Westlake Village(CA)
37,San Francisco,30,2010,2,17,Taylor Mays,Safety,75,203,Seattle(WA)
38,Kansas City,333,2010,2,18,Javier Arenas,Cornerback,69,197,Tampa(FL)
39,Minnesota,24,2010,2,19,Toby Gerhart,Running Back,72,231,Norco(CA)
40,Pittsburgh,259,2010,2,20,Jason Worilds,Outside Linebacker,73,254,Carteret(NJ)
41,Dallas,213,2010,2,23,Sean Lee,Inside Linebacker,74,236,Pittsburgh(PA)
42,Baltimore,333,2010,2,25,Terrence Cody,Defensive Tackle,76,354,Ft. Myers(FL)
43,Houston,2,2010,2,26,Ben Tate,Running Back,71,220,Newark(MD)
44,Cleveland,2633,2010,2,27,Montario Hardesty,Running Back,72,225,New Bern(NC)
