year,player_id,team_id,stat_name,stat_value
2010,1000,130,receivingLONG,20
2010,1000,130,receivingREC,4
2010,1000,130,receivingTD,1
2010,1000,130,receivingYDS,49
2010,1000,130,receivingYPR,12
2010,1001,201,receivingLONG,25
2010,1001,201,receivingREC,16
2010,1001,201,receivingTD,1
2010,1001,201,receivingYDS,135
2010,1001,201,receivingYPR,8
2010,1001,201,rushingCAR,24
2010,1001,201,rushingLONG,13
2010,1001,201,rushingTD,3
2010,1001,201,rushingYDS,74
2010,1001,201,rushingYPC,3
2010,1106,333,rushingCAR,14
2010,1106,333,rushingLONG,36
2010,1106,333,rushingTD,1
2010,1106,333,rushingYDS,111
2010,1106,333,rushingYPC,7
2010,1121,251,receivingLONG,45
2010,1121,251,receivingREC,47
2010,1121,251,receivingTD,2
2010,1121,251,receivingYDS,478
2010,1121,251,receivingYPR,10
2010,1121,251,rushingCAR,3
2010,1121,251,rushingLONG,3
2010,1121,251,rushingTD,0
2010,1121,251,rushingYDS,-6
2010,1121,251,rushingYPC,-2
2010,1148,333,receivingLONG,18
2010,1148,333,receivingREC,2
2010,1148,333,receivingTD,0
2010,1148,333,receivingYDS,26
2010,1148,333,receivingYPR,13
2010,1194,57,receivingLONG,26
2010,1194,57,receivingREC,10
2010,1194,57,receivingTD,0
2010,1194,57,receivingYDS,96
2010,1194,57,receivingYPR,9
2010,1194,57,rushingCAR,1
2010,1194,57,rushingLONG,9
2010,1194,57,rushingTD,0
2010,1194,57,rushingYDS,9
2010,1194,57,rushingYPC,9
2010,1201,142,receivingLONG,5
2010,1201,142,receivingREC,2
2010,1201,142,receivingTD,0
2010,1201,142,receivingYDS,5
2010,1201,142,receivingYPR,2
2010,1201,142,rushingCAR,22
2010,1201,142,rushingLONG,69
2010,1201,142,rushingTD,2
2010,1201,142,rushingYDS,181
2010,1201,142,rushingYPC,8
2010,1208,2653,passingATT,505
2010,1208,2653,passingCOMPLETIONS,321
2010,1208,2653,passingINT,15
2010,1208,2653,passingPCT,0
2010,1208,2653,passingTD,28
2010,1208,2653,passingYDS,3726
2010,1208,2653,passingYPA,7
2010,1208,2653,rushingCAR,48
2010,1208,2653,rushingLONG,17
2010,1208,2653,rushingTD,0
2010,1208,2653,rushingYDS,-100
2010,1208,2653,rushingYPC,-2
2010,1296,204,receivingLONG,-1
2010,1296,204,receivingREC,1
2010,1296,204,receivingTD,0
2010,1296,204,receivingYDS,-1
2010,1296,204,receivingYPR,-1
2010,1296,204,rushingCAR,2
2010,1296,204,rushingLONG,5
2010,1296,204,rushingTD,0
2010,1296,204,rushingYDS,8
2010,1296,204,rushingYPC,4
2010,1304,77,puntingIn 20,0
2010,1304,77,puntingLONG,61
2010,1304,77,puntingNO,61
2010,1304,77,puntingTB,0
2010,1304,77,puntingYDS,2439
2010,1304,77,puntingYPP,40
2010,1304,2483,receivingLONG,29
2010,1304,2483,receivingREC,2
2010,1304,2483,receivingTD,0
2010,1304,2483,receivingYDS,48
2010,1304,2483,receivingYPR,24
2010,1356,151,receivingLONG,77
2010,1356,151,receivingREC,52
2010,1356,151,receivingTD,1
2010,1356,151,receivingYDS,431
2010,1356,151,receivingYPR,8
2010,1356,151,rushingCAR,154
2010,1356,151,rushingLONG,37
2010,1356,151,rushingTD,10
2010,1356,151,rushingYDS,847
2010,1356,151,rushingYPC,5
2010,1476,166,receivingLONG,16
2010,1476,166,receivingREC,7
2010,1476,166,receivingTD,0
2010,1476,166,receivingYDS,56
2010,1476,166,receivingYPR,8
2010,1596,239,kickingFGA,27
2010,1596,239,kickingFGM,19
2010,1596,239,kickingLONG,50
2010,1596,239,kickingPCT,0
2010,1596,239,kickingPTS,103
2010,1596,239,kickingXPA,47
2010,1596,239,kickingXPM,46
2010,1692,2567,rushingCAR,1
2010,1692,2567,rushingLONG,0
2010,1692,2567,rushingTD,0
2010,1692,2567,rushingYDS,-7
2010,1692,2567,rushingYPC,-7
2010,1706,25,receivingLONG,45
2010,1706,25,receivingREC,13
2010,1706,25,receivingTD,1
2010,1706,25,receivingYDS,152
2010,1706,25,receivingYPR,11
2010,1713,152,receivingLONG,24
2010,1713,152,receivingREC,27
2010,1713,152,receivingTD,1
2010,1713,152,receivingYDS,185
2010,1713,152,receivingYPR,6
2010,1713,152,rushingCAR,71
2010,1713,152,rushingLONG,12
2010,1713,152,rushingTD,1
2010,1713,152,rushingYDS,215
2010,1713,152,rushingYPC,3
2010,1735,151,receivingLONG,33
2010,1735,151,receivingREC,21
2010,1735,151,receivingTD,5
2010,1735,151,receivingYDS,211
2010,1735,151,receivingYPR,10
2010,1794,166,receivingLONG,58
2010,1794,166,receivingREC,42
2010,1794,166,receivingTD,2
2010,1794,166,receivingYDS,598
2010,1794,166,receivingYPR,14
2010,1794,166,rushingCAR,17
2010,1794,166,rushingLONG,26
2010,1794,166,rushingTD,1
2010,1794,166,rushingYDS,100
2010,1794,166,rushingYPC,5
2010,185,61,receivingLONG,50
2010,185,61,receivingREC,57
2010,185,61,receivingTD,9
2010,185,61,receivingYDS,848
2010,185,61,receivingYPR,14
2010,185,61,rushingCAR,3
2010,185,61,rushingLONG,40
2010,185,61,rushingTD,0
2010,185,61,rushingYDS,44
2010,185,61,rushingYPC,14
2010,187,333,receivingLONG,68
2010,187,333,receivingREC,78
2010,187,333,receivingTD,7
2010,187,333,receivingYDS,1133
2010,187,333,receivingYPR,14
2010,187,333,rushingCAR,8
2010,187,333,rushingLONG,56
2010,187,333,rushingTD,2
2010,187,333,rushingYDS,135
2010,187,333,rushingYPC,16
2010,1872,2032,receivingLONG,14
2010,1872,2032,receivingREC,6
2010,1872,2032,receivingTD,0
2010,1872,2032,receivingYDS,39
2010,1872,2032,receivingYPR,6
2010,189,264,passingATT,332
2010,189,264,passingCOMPLETIONS,184
2010,189,264,passingINT,9
2010,189,264,passingPCT,0
2010,189,264,passingTD,17
2010,189,264,passingYDS,2265
2010,189,264,passingYPA,6
2010,189,264,receivingLONG,16
2010,189,264,receivingREC,1
2010,189,264,receivingTD,0
2010,189,264,receivingYDS,16
2010,189,264,receivingYPR,16
2010,189,264,rushingCAR,114
2010,189,264,rushingLONG,54
2010,189,264,rushingTD,6
2010,189,264,rushingYDS,385
2010,189,264,rushingYPC,3
2010,190,30,receivingLONG,0
2010,190,30,receivingREC,1
2010,190,30,receivingTD,0
2010,190,30,receivingYDS,-1
2010,190,30,receivingYPR,-1
2010,191,142,passingATT,475
2010,191,142,passingCOMPLETIONS,301
2010,191,142,passingINT,9
2010,191,142,passingPCT,0
2010,191,142,passingTD,16
2010,191,142,passingYDS,3186
2010,191,142,passingYPA,6
2010,191,142,rushingCAR,112
2010,191,142,rushingLONG,32
2010,191,142,rushingTD,5
2010,191,142,rushingYDS,232
2010,191,142,rushingYPC,2
2010,193,52,passingATT,299
2010,193,52,passingCOMPLETIONS,184
2010,193,52,passingINT,8
2010,193,52,passingPCT,0
2010,193,52,passingTD,20
2010,193,52,passingYDS,2044
2010,193,52,passingYPA,6
2010,193,52,rushingCAR,100
2010,193,52,rushingLONG,18
2010,193,52,rushingTD,4
2010,193,52,rushingYDS,180
2010,193,52,rushingYPC,1
2010,203,221,receivingLONG,61
2010,203,221,receivingREC,53
2010,203,221,receivingTD,5
2010,203,221,receivingYDS,822
2010,203,221,receivingYPR,15
2010,203,221,rushingCAR,3
2010,203,221,rushingLONG,6
2010,203,221,rushingTD,0
2010,203,221,rushingYDS,3
2010,203,221,rushingYPC,1
2010,205,333,receivingLONG,78
2010,205,333,receivingREC,21
2010,205,333,receivingTD,1
2010,205,333,receivingYDS,282
2010,205,333,receivingYPR,13
2010,205,333,rushingCAR,158
2010,205,333,rushingLONG,54
2010,205,333,rushingTD,13
2010,205,333,rushingYDS,875
2010,205,333,rushingYPC,5
2010,207,218,receivingLONG,3
2010,207,218,receivingREC,1
2010,207,218,receivingTD,0
2010,207,218,receivingYDS,3
2010,207,218,receivingYPR,3
2010,2084,344,receivingLONG,17
2010,2084,344,receivingREC,3
2010,2084,344,receivingTD,0
2010,2084,344,receivingYDS,36
2010,2084,344,receivingYPR,12
2010,212,2628,passingATT,316
2010,212,2628,passingCOMPLETIONS,209
2010,212,2628,passingINT,6
2010,212,2628,passingPCT,0
2010,212,2628,passingTD,27
2010,212,2628,passingYDS,2857
2010,212,2628,passingYPA,9
2010,212,2628,puntingIn 20,0
2010,212,2628,puntingLONG,21
2010,212,2628,puntingNO,1
2010,212,2628,puntingTB,0
