team_ID,team,nickname,conference,color,hometown,stadium_id
2,Auburn,AUB,SEC,#03244d,Auburn,16
8,Arkansas,ARK,SEC,#9c1831,Fayetteville,11
9,Arizona State,ASU,Pac-12,#942139,Tempe,10
12,Arizona,ARIZ,Pac-12,#002449,Tucson,9
13,Cal Poly,CP,Big Sky,#1E4D2B,San Luis Obispo,31
16,Sacramento State,SAC,Big Sky,#00573C,Sacramento,184
21,San Diego State,SDSU,Mountain West,#BF2C37,San Diego,189
23,San José State,SJSU,Mountain West,#005893,San Jose,190
24,Stanford,STAN,Pac-12,#A80532,Stanford,204
25,California,CAL,Pac-12,#031522,Berkeley,30
26,UCLA,UCLA,Pac-12,#005C8E,Pasadena,231
30,USC,USC,Pac-12,#ffc72c,Los Angeles,233
36,Colorado State,CSU,Mountain West,#004537,Fort Collins,45
38,Colorado,COLO,Pac-12,#d1c57e,Boulder,44
41,Connecticut,CONN,FBS Independents,#001d40,East Hartford,47
43,Yale,YALE,Ivy,#004a81,New Haven,261
46,Georgetown,GTWN,Patriot,#110E42,Washington,73
47,Howard,HOW,MEAC,#9e0b0e,Washington,85
48,Delaware,DEL,CAA,#033594,Newark,52
50,Florida A&M,FAMU,SWAC,#F89728,Tallahassee,65
52,Florida State,FSU,ACC,#782F40,Tallahassee,68
55,Jacksonville State,JVST,Atlantic Sun,#b50500,Jacksonville,96
56,Stetson,STET,Pioneer,#0a5640,DeLand,206
57,Florida,FLA,SEC,#0021A5,Gainesville,64
58,South Florida,USF,American Athletic,#004A36,Tampa,202
59,Georgia Tech,GT,ACC,#00223e,Atlanta,77
61,Georgia,UGA,SEC,#CC0000,Athens,74
66,Iowa State,ISU,Big 12,#660015,Ames,94
68,Boise State,BSU,Mountain West,#09347A,Boise,21
70,Idaho,IDHO,Big Sky,#000000,Moscow,86
77,Northwestern,NW,Big Ten,#372286,Evanston,161
79,Southern Illinois,SIU,MVFC,#85283D,Carbondale,199
84,Indiana,IND,Big Ten,#7D110C,Bloomington,91
87,Notre Dame,ND,FBS Independents,#00122b,Notre Dame,163
93,Murray State,MURR,OVC,#002148,Murray,138
96,Kentucky,UK,SEC,#005DAA,Lexington,102
97,Louisville,LOU,ACC,#ad000a,Louisville,113
98,Western Kentucky,WKU,Conference USA,#F32026,Bowling Green,252
99,LSU,LSU,SEC,#fdd023,Baton Rouge,114
103,Boston College,BC,ACC,#88001a,Chestnut Hill,22
107,Holy Cross,HC,Patriot,#0a0a0a,Worcester,82
108,Harvard,HARV,Ivy,#990000,Boston,81
113,UMass,UMASS,FBS Independents,#880007,Hadley,232
119,Towson,TOWS,CAA,#FFC229,Towson,224
120,Maryland,MD,Big Ten,#D5002B,College Park,118
125,Grand Valley State,GVSU,GLIAC,#000000,Allendale,79
127,Michigan State,MSU,Big Ten,#18453B,East Lansing,125
128,Northern Michigan,NOR,GLIAC,#000000,Marquette,159
130,Michigan,MICH,Big Ten,#00274c,Ann Arbor,124
135,Minnesota,MINN,Big Ten,#981a31,Minneapolis,127
142,Missouri,MIZ,SEC,#000000,Columbia,130
145,Ole Miss,MISS,SEC,#001148,Oxford,169
147,Montana State,MTST,Big Sky,#003875,Bozeman,135
149,Montana,MONT,Big Sky,#751D4A,Missoula,134
150,Duke,DUKE,ACC,#001A57,Durham,55
151,East Carolina,ECU,American Athletic,#4b1869,Greenville,57
152,NC State,NCST,ACC,#EF1216,Raleigh,140
153,North Carolina,UNC,ACC,#99bfe5,Chapel Hill,150
154,Wake Forest,WAKE,ACC,#9E7E38,Winston-Salem,246
155,North Dakota,UND,MVFC,#00A26B,Grand Forks,153
158,Nebraska,NEB,Big Ten,#F20017,Lincoln,141
159,Dartmouth,DART,Ivy,#005730,Hanover,49
160,New Hampshire,UNH,CAA,#004990,Durham,144
163,Princeton,PRIN,Ivy,#ff9408,Princeton,178
166,New Mexico State,NMSU,FBS Independents,#891216,Las Cruces,146
167,New Mexico,UNM,Mountain West,#000000,Albuquerque,145
171,Columbia,CLMB,Ivy,#174785,Manhattan,46
172,Cornell,COR,Ivy,#d60027,Ithaca,48
183,Syracuse,SYR,ACC,#F37321,Syracuse,211
189,Bowling Green,BGSU,Mid-American,#2b1000,Bowling Green,23
193,Miami (OH),M-OH,Mid-American,#a4000c,Oxford,123
194,Ohio State,OSU,Big Ten,#DE3121,Columbus,165
195,Ohio,OHIO,Mid-American,#295A29,Athens,164
197,Oklahoma State,OKST,Big 12,#FF6500,Stillwater,167
201,Oklahoma,OKLA,Big 12,#7b0000,Norman,166
202,Tulsa,TLSA,American Athletic,#004371,Tulsa,227
204,Oregon State,ORST,Pac-12,#c34500,Corvallis,171
213,Penn State,PSU,Big Ten,#00265D,University Park,172
218,Temple,TEM,American Athletic,#A80532,Philadelphia,213
219,Pennsylvania,PENN,Ivy,#082A74,Philadelphia,173
221,Pittsburgh,PITT,ACC,#003263,Pittsburgh,174
222,Villanova,NOVA,CAA,#123d7C,Villanova,241
225,Brown,BRWN,Ivy,#411e09,Providence,24
227,Rhode Island,URI,CAA,#091f3f,Kingston,180
228,Clemson,CLEM,ACC,#F66733,Clemson,41
231,Furman,FUR,Southern,#4A2184,Greenville,71
233,South Dakota,SDAK,MVFC,#CD1241,Vermillion,195
235,Memphis,MEM,American Athletic,#003087,Memphis,120
236,Chattanooga,CHAT,Southern,#00386b,Chattanooga,39
238,Vanderbilt,VAN,SEC,#000000,Nashville,240
239,Baylor,BAY,Big 12,#004834,Waco,19
242,Rice,RICE,Conference USA,#003D7D,Houston,181
245,Texas A&M,TA&M,SEC,#5C0025,College Station,218
248,Houston,HOU,American Athletic,#C90822,Houston,83
249,North Texas,UNT,Conference USA,#00853D,Denton,160
251,Texas,TEX,Big 12,#EE7524,Austin,217
252,BYU,BYU,FBS Independents,#001E4C,Provo,29
253,Southern Utah,SUU,Western Athletic,#d10000,Cedar City,201
254,Utah,UTAH,Pac-12,#890012,Salt Lake City,234
256,James Madison,JMU,Sun Belt,#450084,Harrisonburg,97
257,Richmond,RICH,CAA,#9e0712,Richmond,182
258,Virginia,UVA,ACC,#f84c1e,Charlottesville,242
259,Virginia Tech,VT,ACC,#74232D,Blacksburg,243
264,Washington,WASH,Pac-12,#2B2F64,Seattle,247
265,Washington State,WSU,Pac-12,#94022a,Pullman,248
275,Wisconsin,WIS,Big Ten,#A00001,Madison,257
276,Marshall,MRSH,Sun Belt,#00ae42,Huntington,117
277,West Virginia,WVU,Big 12,#FFC600,Morgantown,254
278,Fresno State,FRES,Mountain West,#c41230,Fresno,70
282,Indiana State,INST,MVFC,#00669a,Terre Haute,92
290,Georgia Southern,GASO,Sun Belt,#003775,Statesboro,75
295,Old Dominion,ODU,Sun Belt,#00507d,Norfolk,168
301,San Diego,USD,Pioneer,#2f99d4,San Diego,188
302,UC Davis,UCD,Big Sky,#002855,Davis,229
304,Idaho State,IDST,Big Sky,#ef8c00,Pocatello,87
309,Louisiana,ULL,Sun Belt,#ce2842,Lafayette,110
311,Maine,MAINE,CAA,#127dbe,Orono,115
322,Lafayette,LAF,Patriot,#790000,Easton,104
324,Coastal Carolina,CCU,Sun Belt,#007073,Conway,42
326,Texas State,TXST,Sun Belt,#4e1719,San Marcos,220
328,Utah State,USU,Mountain West,#003263,Logan,235
331,Eastern Washington,EWU,Big Sky,#a10022,Cheney,61
333,Alabama,ALA,SEC,#690014,Tuscaloosa,3
338,Kennesaw State,KENN,Atlantic Sun,#000000,Kennesaw,100
344,Mississippi State,MSST,SEC,#762123,Starkville,128
349,Army,ARMY,FBS Independents,#ce9c00,West Point,14
356,Illinois,ILL,Big Ten,#f77329,Champaign,88
399,Albany,ALBY,CAA,#3D2777,Albany,6
471,Stevenson,STU,Mid Atlantic,#000000,Stevenson,207
2000,Abilene Christian,ACU,Western Athletic,#4e2683,Abilene,0
2005,Air Force,AFA,Mountain West,#004a7b,Colorado Springs,1
2006,Akron,AKR,Mid-American,#00285e,Akron,2
2010,Alabama A&M,AAMU,SWAC,#790000,Huntsville,4
2011,Alabama State,ALST,SWAC,#e9a900,Montgomery,5
2016,Alcorn State,ALCN,SWAC,#4b0058,Lorman,7
2026,Appalachian State,APP,Sun Belt,#000000,Boone,8
2029,Arkansas-Pine Bluff,UAPB,SWAC,#e0aa0f,Pine Bluff,12
2032,Arkansas State,ARST,Sun Belt,#e81018,Jonesboro,13
2038,Assumption,ASP,Northeast 10,#000000,Worcester,15
2046,Austin Peay,PEAY,Atlantic Sun,#8e0b0b,Clarksville,17
2050,Ball State,BALL,Mid-American,#DA0000,Muncie,18
2065,Bethune-Cookman,BCU,SWAC,#7b1831,Daytona Beach,20
2083,Bucknell,BUCK,Patriot,#000060,Lewisburg,26
2084,Buffalo,BUFF,Mid-American,#041A9B,Amherst,27
2086,Butler,BUT,Pioneer,#0d1361,Indianapolis,28
2097,Campbell,CAMP,Big South,#000000,Buies Creek,32
2110,Central Arkansas,UCA,Atlantic Sun,#a7a9ac,Conway,34
2115,Central Connecticut,CCSU,NEC,#1B49A2,New Britain,35
2116,UCF,UCF,American Athletic,#000000,Orlando,230
2117,Central Michigan,CMU,Mid-American,#6a0032,Mount Pleasant,36
2127,Charleston Southern,CHSO,Big South,#2e3192,North Charleston,37
2132,Cincinnati,CIN,American Athletic,#000000,Cincinnati,40
2142,Colgate,COLG,Patriot,#8B011D,Hamilton,43
2166,Davidson,DAV,Pioneer,#000000,Davidson,50
2168,Dayton,DAY,Pioneer,#004B8D,Dayton,51
2169,Delaware State,DSU,MEAC,#FF3630,Dover,53
2181,Drake,DRKE,Pioneer,#004477,Des Moines,54
2184,Duquesne,DUQ,NEC,#002D62,Pittsburgh,56
2193,East Tennessee State,ETSU,Southern,#002d61,Johnson City,62
2197,Eastern Illinois,EIU,OVC,#000000,Charleston,58
2198,Eastern Kentucky,EKY,Atlantic Sun,#660819,Richmond,59
2199,Eastern Michigan,EMU,Mid-American,#00331b,Ypsilanti,60
2210,Elon,ELON,CAA,#020303,Elon,63
2226,Florida Atlantic,FAU,Conference USA,#004B85,Boca Raton,66
2229,Florida International,FIU,Conference USA,#001538,Miami,67
2233,Franklin,FRA,Heartland,#000000,Franklin,69
2241,Gardner-Webb,WEBB,Big South,#c12535,Boiling Springs,72
2247,Georgia State,GAST,Sun Belt,#1e539a,Atlanta,76
2261,Hampton,HAMP,CAA,#0067AC,Hampton,80
2277,Houston Christian,HCU,Southland,#00539c,Houston,84
2287,Illinois State,ILST,MVFC,#CE1126,Normal,89
2294,Iowa,IOWA,Big Ten,#000000,Iowa City,93
2296,Jackson State,JKST,SWAC,#123297,Jackson,95
2305,Kansas,KU,Big 12,#0022B4,Lawrence,98
2306,Kansas State,KSU,Big 12,#633194,Manhattan,99
2309,Kent State,KENT,Mid-American,#002445,Kent,101
2316,Kentucky Wesleyan,KYW,Great Midwest Athletic,#000000,Owensboro,103
2320,Lamar,LAM,Southland,#000000,Beaumont,105
2329,Lehigh,LEH,Patriot,#6c2b2a,Bethlehem,106
2335,Liberty,LIB,FBS Independents,#071740,Lynchburg,107
2348,Louisiana Tech,LT,Conference USA,#002d65,Ruston,112
2368,Marist,MRST,Pioneer,#e53730,Poughkeepsie,116
2377,McNeese,MCNS,Southland,#00529C,Lake Charles,119
2382,Mercer,MER,Southern,#ff7f29,Macon,121
2390,Miami,MIAMI,ACC,#004325,Miami Gardens,122
2393,Middle Tennessee,MTSU,Conference USA,#0079C2,Murfreesboro,126
2400,Mississippi Valley State,MVSU,SWAC,#005328,Itta Bena,129
2402,Missouri S&T,S&T,Great Lakes,#000000,Rolla,131
2405,Monmouth,MONM,CAA,#051844,West Long Branch,133
2413,Morehead State,MORE,Pioneer,#094FA3,Morehead,136
2415,Morgan State,MORG,MEAC,#014786,Baltimore,137
2426,Navy,NAVY,American Athletic,#131630,Annapolis,139
2428,North Carolina Central,NCCU,MEAC,#880023,Durham,152
2429,Charlotte,CHAR,Conference USA,#ffffff,Charlotte,38
2433,Louisiana Monroe,ULM,Sun Belt,#231F20,Monroe,111
2440,Nevada,NEV,Mountain West,#153E5F,Reno,142
2444,Newberry,NBY,South Atlantic,#000000,Newberry,143
2447,Nicholls,NICH,Southland,#C41230,Thibodaux,147
2448,North Carolina A&T,NCAT,Big South,#0505aa,Greensboro,151
2449,North Dakota State,NDSU,MVFC,#01402A,Fargo,154
2450,Norfolk State,NSU,MEAC,#046546,Norfolk,148
2453,North Alabama,NOR,Atlantic Sun,#000000,Florence,149
2458,Northern Colorado,UNCO,Big Sky,#13558D,Greeley,156
2459,Northern Illinois,NIU,Mid-American,#F1122C,DeKalb,157
2460,Northern Iowa,UNI,MVFC,#473282,Cedar Falls,158
2464,Northern Arizona,NAU,Big Sky,#003976,Flagstaff,155
2466,Northwestern State,NWST,Southland,#492F91,Natchitoches,162
2483,Oregon,ORE,Pac-12,#044520,Eugene,170
2502,Portland State,PRST,Big Sky,#00311e,Portland,175
2504,Prairie View,PVAM,SWAC,#4d0960,Prairie View,176
2506,Presbyterian College,PRE,Pioneer,#194896,Clinton,177
2509,Purdue,PUR,Big Ten,#B89D29,West Lafayette,179
2523,Robert Morris,RMU,Big South,#00214D,Moon Township,183
2529,Sacred Heart,SHU,NEC,#a40012,Fairfield,185
2534,Sam Houston State,SHSU,Western Athletic,#fe5000,Huntsville,187
2535,Samford,SAM,Southern,#005485,Homewood,186
2542,Savannah State,SAV,SIAC,#280298,Savannah,191
2545,Southeastern Louisiana,SELA,Southland,#215732,Hammond,197
2567,SMU,SMU,American Athletic,#E32F38,University Park,192
2569,South Carolina State,SCST,MEAC,#7d1315,Orangeburg,194
2571,South Dakota State,SDSU,MVFC,#005DAB,Brookings,196
2572,Southern Mississippi,USM,Sun Belt,#FFAA3C,Hattiesburg,200
2579,South Carolina,SC,SEC,#670010,Columbia,193
2582,Southern,SOU,SWAC,#004B97,Baton Rouge,198
2586,Southwest Baptist,SWB,Great Lakes,#000000,Springfield,203
2598,St Francis (PA),SFU,NEC,#a20012,Loretto,208
2617,Stephen F. Austin,SFA,Western Athletic,#393996,Nacogdoches,205
2619,Stony Brook,STON,CAA,#990000,Stony Brook,209
2623,Missouri State,MOST,MVFC,#5F0000,Springfield,132
2628,TCU,TCU,Big 12,#3C377D,Fort Worth,212
2630,UT Martin,UTM,OVC,#FF6700,Martin,237
2633,Tennessee,TENN,SEC,#EE9627,Knoxville,214
